['cup', 'color_white', 'dampness_damp', 'dimension_narrow_short_small_thick', 'material_ceramic', 'physical_fragile_hard', 'price_expensive', 'room_bathroom', 'shape_curved_hollow', 'size_small', 'fullness_half', 'place_on_sink', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_white', 'dampness_dry', 'dimension_narrow_short_small_thick', 'material_ceramic', 'physical_fragile_hard', 'price_expensive', 'cleanliness_normal', 'room_bathroom', 'shape_curved_hollow', 'size_small', 'fullness_empty', 'place_on_sink', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_white', 'dampness_wet', 'dimension_narrow_short_small_thick', 'material_ceramic', 'physical_fragile_hard', 'price_expensive', 'cleanliness_normal', 'room_bathroom', 'shape_curved_hollow', 'size_small', 'fullness_full', 'place_on_sink', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_white', 'dimension_narrow_short_small_thick', 'material_ceramic', 'physical_fragile_hard', 'price_expensive', 'room_bathroom', 'shape_curved_hollow', 'size_small', 'fullness_full', 'place_on_sink', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_white', 'dampness_dry', 'dimension_narrow_short_small_thick', 'material_ceramic', 'physical_fragile_hard', 'price_expensive', 'cleanliness_clean', 'room_bathroom', 'shape_curved_hollow', 'size_small', 'fullness_empty', 'place_on_shelf', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_white', 'dampness_dry', 'dimension_narrow_short_small_thick', 'material_ceramic', 'physical_fragile_hard', 'price_expensive', 'cleanliness_clean', 'room_bathroom', 'shape_curved_hollow', 'size_small', 'fullness_empty', 'place_in_basket', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_white', 'dampness_damp', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_normal', 'room_dining_room', 'shape_curved_flat_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_dry', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_clean', 'room_dining_room', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_on_counter', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_dirty', 'room_dining_room', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_on_floor', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_wet', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_normal', 'room_dining_room', 'shape_curved_flat_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_opaque', 'weight_light']
['cup', 'color_white', 'dampness_damp', 'dimension_small_thin', 'material_paper', 'physical_absorbent_compressible_soft', 'price_cheap', 'cleanliness_dirty', 'room_dining_room', 'shape_curved_flat_hollow', 'size_medium', 'fullness_empty', 'place_in_trash_can', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
